Date,Index,Country,Close,Currency
2020-02-10,MSCI United Kingdom,united kingdom,2139.88,GBP
2020-02-11,MSCI United Kingdom,united kingdom,2149.5,GBP
2020-02-12,MSCI United Kingdom,united kingdom,2126.25,GBP
2020-02-13,MSCI United Kingdom,united kingdom,2113.96,GBP
2020-02-16,MSCI United Kingdom,united kingdom,2121.65,GBP
2020-02-17,MSCI United Kingdom,united kingdom,2107.1,GBP
2020-02-18,MSCI United Kingdom,united kingdom,2127.91,GBP
2020-02-19,MSCI United Kingdom,united kingdom,2122.29,GBP
2020-02-20,MSCI United Kingdom,united kingdom,2112.83,GBP
2020-02-23,MSCI United Kingdom,united kingdom,2043.4,GBP
2020-02-24,MSCI United Kingdom,united kingdom,2003.45,GBP
2020-02-25,MSCI United Kingdom,united kingdom,2010.57,GBP
2020-02-26,MSCI United Kingdom,united kingdom,1940.21,GBP
2020-02-27,MSCI United Kingdom,united kingdom,1879.33,GBP
2020-03-01,MSCI United Kingdom,united kingdom,1899.97,GBP
2020-03-02,MSCI United Kingdom,united kingdom,1916.54,GBP
2020-03-03,MSCI United Kingdom,united kingdom,1945.23,GBP
2020-03-04,MSCI United Kingdom,united kingdom,1913.51,GBP
2020-03-05,MSCI United Kingdom,united kingdom,1844.58,GBP
2020-03-08,MSCI United Kingdom,united kingdom,1700.48,GBP
2020-03-09,MSCI United Kingdom,united kingdom,1698.97,GBP
2020-03-10,MSCI United Kingdom,united kingdom,1674.88,GBP
2020-03-11,MSCI United Kingdom,united kingdom,1492.88,GBP
2020-03-12,MSCI United Kingdom,united kingdom,1527.66,GBP
2020-03-15,MSCI United Kingdom,united kingdom,1469.04,GBP
2020-03-16,MSCI United Kingdom,united kingdom,1510.95,GBP
2020-03-17,MSCI United Kingdom,united kingdom,1454.83,GBP
2020-03-18,MSCI United Kingdom,united kingdom,1476.32,GBP
2020-03-19,MSCI United Kingdom,united kingdom,1484.41,GBP
2020-03-22,MSCI United Kingdom,united kingdom,1428.42,GBP
2020-03-23,MSCI United Kingdom,united kingdom,1555.06,GBP
2020-03-24,MSCI United Kingdom,united kingdom,1625.49,GBP
2020-03-25,MSCI United Kingdom,united kingdom,1660.45,GBP
2020-03-26,MSCI United Kingdom,united kingdom,1573.39,GBP
2020-03-29,MSCI United Kingdom,united kingdom,1588.89,GBP
2020-03-30,MSCI United Kingdom,united kingdom,1619.21,GBP
